ISS.UTCGregorian,ISS.UTCModJulian,ISS.ElapsedSecs,ISS.ICRF.X,ISS.ICRF.Y,ISS.ICRF.Z,Earth.ICRF.X,Earth.ICRF.Y,Earth.ICRF.Z,Sun.ICRF.X,Sun.ICRF.Y,Sun.ICRF.Z,SolarSystemBarycenter.ICRF.X,SolarSystemBarycenter.ICRF.Y,SolarSystemBarycenter.ICRF.Z
12 Sep 2024 18:54:22.615,30566.28776175304,880.6154627585784,147350760.4062228,-24225553.88964004,-10470481.11623191,147346341.4563603,-24230210.7732815,-10472740.84314184,-970526.7146653831,-620535.2006970011,-237856.2954832967,0,0,0
12 Sep 2024 18:55:54.275,30566.28882263292,972.2754844115116,147350946.1836208,-24222676.25360239,-10469925.2166283,147346763.7538946,-24227752.83361496,-10471675.39189962,-970525.6713053584,-620535.8962163106,-237856.6138066854,0,0,0
12 Sep 2024 18:57:25.928,30566.28988342935,1063.928295846563,147351087.4799811,-24219852.74927427,-10469387.99851576,147347185.969777,-24225295.07982362,-10470610.02125741,-970524.628026545,-620536.5916794688,-237856.9321044162,0,0,0
12 Sep 2024 18:58:57.576,30566.29094416564,1155.575911235064,147351187.2891191,-24217087.18958343,-10468863.82227124,147347608.113296,-24222837.45789798,-10469544.70780354,-970523.5848060846,-620537.2871017456,-237857.2503834926,0,0,0
12 Sep 2024 19:00:29.223,30566.29200489551,1247.22297184635,147351249.0436013,-24214382.69791967,-10468346.89718051,147348030.2058344,-24220379.84337927,-10468479.39758844,-970522.541591078,-620537.9825183637,-237857.5686600301,0,0,0
12 Sep 2024 19:02:00.871,30566.29306563736,1338.871067832224,147351276.5731751,-24211741.84459404,-10467831.37429983,147348452.2547154,-24217922.19362659,-10467414.07212844,-970521.4983634055,-620538.6779413857,-237857.8869395517,0,0,0
12 Sep 2024 19:03:32.524,30566.29412643234,1430.523754481692,147351274.0691413,-24209166.46970936,-10467311.37926408,147348874.2763068,-24215464.41330088,-10466348.6900966,-970520.4550825953,-620539.3733977899,-237858.2052343991,0,0,0
12 Sep 2024 19:05:04.184,30566.295187314,1522.183930152096,147351246.0383651,-24206657.7408999,-10466781.08854196,147349296.2839448,-24213006.4246784,-10465283.21780177,-970519.4117157161,-620540.068909578,-237858.5235546473,0,0,0
12 Sep 2024 19:06:35.856,30566.29624833461,1613.856110069901,147351197.2555191,-24204216.07858972,-10466234.77679177,147349718.2984019,-24210548.10667581,-10464217.60275756,-970518.3682113588,-620540.7645110004,-237858.8419159669,0,0,0
12 Sep 2024 19:08:07.541,30566.29730950347,1705.541100155097,147351132.7159719,-24201841.29279142,-10465666.90801868,147350140.3233686,-24208089.437679,-10463151.83559484,-970517.3245603144,-620541.4602081701,-237859.160321163,0,0,0
12 Sep 2024 19:09:39.242,30566.2983708592,1797.242234728765,147351057.5807844,-24199532.41718164,-10465072.15669379,147350562.3741696,-24205630.32827046,-10462085.87755355,-970516.2807246149,-620542.1560263894,-237859.47878181,0,0,0
12 Sep 2024 19:11:10.962,30566.29943242528,1888.961543992627,147350977.1248159,-24197287.82047613,-10464445.48611364,147350984.4601215,-24203170.72400376,-10461019.70503262,-970515.2366811931,-620542.8519810699,-237859.7973049656,0,0,0
12 Sep 2024 19:12:42.700,30566.30049421322,1980.700022459496,147350896.6819157,-24195105.21267772,-10463782.2007395,147351406.5857711,-24200710.59820563,-10459953.30646992,-970514.1924187541,-620543.5480797477,-237860.1158940736,0,0,0
12 Sep 2024 19:14:14.457,30566.30155621993,2072.457402013242,147350821.5891567,-24192981.6711646,-10463077.99897335,147351828.7498547,-24198249.95806221,-10458886.68498048,-970513.1479402781,-620544.2443203926,-237860.4345482104,0,0,0
12 Sep 2024 19:15:46.234,30566.30261844375,2164.233539951965,147350757.1292437,-24190913.63732988,-10462329.0094672,147352250.9516841,-24195788.80740493,-10457819.84222514,-970512.1032474041,-620544.9407019168,-237860.7532668728,0,0,0
12 Sep 2024 19:17:18.026,30566.30368085664,2256.026013800874,147350708.4759803,-24188897.00722726,-10461531.85291106,147352673.18009,-24193327.21117669,-10456752.8063549,-970511.0583677292,-620545.6372059435,-237861.0720416531,0,0,0
