ISS.UTCGregorian           ISS.UTCModJulian          ISS.ElapsedSecs           ISS.Earth.BetaAngle       
12 Sep 2024 18:39:42.000   30566.27756944444         0                         51.74648180014135         
12 Sep 2024 18:40:42.000   30566.27826388889         59.99999988125637         51.74418418457326         
12 Sep 2024 18:42:09.522   30566.27927687173         147.5217176252045         51.74147159825964         
12 Sep 2024 18:43:40.780   30566.28033309736         238.7796122347936         51.73944986889787         
12 Sep 2024 18:45:12.451   30566.28139410689         330.4508356726728         51.7382165007045          
12 Sep 2024 18:46:44.163   30566.28245559295         422.1632311237045         51.73771713717112         
12 Sep 2024 18:48:15.874   30566.28351705878         513.8738786336035         51.73785607993137         
12 Sep 2024 18:49:47.575   30566.28457841682         605.5752134299837         51.73850965264675         
12 Sep 2024 18:51:19.266   30566.28563965269         697.2659926861525         51.73953204568335         
12 Sep 2024 18:52:50.946   30566.28670076351         788.9459671452641         51.74076141730327         
12 Sep 2024 18:54:22.615   30566.28776175304         880.6154627585784         51.74202664862688         
12 Sep 2024 18:55:54.275   30566.28882263292         972.2754844115116         51.74315454690114         
12 Sep 2024 18:57:25.928   30566.28988342935         1063.928295846563         51.74397719836531         
12 Sep 2024 18:58:57.576   30566.29094416564         1155.575911235064         51.74433912985455         
12 Sep 2024 19:00:29.223   30566.29200489551         1247.22297184635          51.74410401033524         
12 Sep 2024 19:02:00.871   30566.29306563736         1338.871067832224         51.74316056413759         
12 Sep 2024 19:03:32.524   30566.29412643234         1430.523754481692         51.74142745553601         
12 Sep 2024 19:05:04.184   30566.295187314           1522.183930152096         51.73885688928131         
12 Sep 2024 19:06:35.856   30566.29624833461         1613.856110069901         51.73543668439968         
12 Sep 2024 19:08:07.541   30566.29730950347         1705.541100155097         51.73119104981237         
12 Sep 2024 19:09:39.242   30566.2983708592          1797.242234728765         51.72617936217034         
12 Sep 2024 19:11:10.962   30566.29943242528         1888.961543992627         51.72049374926163         
12 Sep 2024 19:12:42.700   30566.30049421322         1980.700022459496         51.71425512573477         
12 Sep 2024 19:14:14.457   30566.30155621993         2072.457402013242         51.70760799690569         
12 Sep 2024 19:15:46.234   30566.30261844375         2164.233539951965         51.70071412376029         
12 Sep 2024 19:17:18.026   30566.30368085664         2256.026013800874         51.69374573434792         
12 Sep 2024 19:18:49.833   30566.30474344096         2347.833298787009         51.68687790462005         
12 Sep 2024 19:20:21.652   30566.30580616097         2439.652307960205         51.68028127442715         
12 Sep 2024 19:21:53.479   30566.30686897452         2531.479398964439         51.67411473310462         
12 Sep 2024 19:23:25.311   30566.3079318376          2623.310769139789         51.66851869545895         
12 Sep 2024 19:24:57.141   30566.30899468862         2715.14109702548          51.66360929366223         
12 Sep 2024 19:26:28.965   30566.31005746998         2806.96540659992          51.6594734154484          
12 Sep 2024 19:28:00.779   30566.31112012725         2898.778994358145         51.65616512988507         
12 Sep 2024 19:29:32.578   30566.31218261159         2990.577641793061         51.65370348005522         
12 Sep 2024 19:31:04.356   30566.31324486106         3082.355996011756         51.65207176541332         
12 Sep 2024 19:32:36.111   30566.3143068432          3174.111252324656         51.65121819261307         
12 Sep 2024 19:34:07.839   30566.31536851151         3265.839394961949         51.65105813818811         
12 Sep 2024 19:35:39.539   30566.31642984405         3357.538526365533         51.65147766221503         
12 Sep 2024 19:37:11.207   30566.31749082551         3449.207323871087         51.65233830882903         
12 Sep 2024 19:38:42.847   30566.31855146692         3540.84674238693          51.65348292990885         
12 Sep 2024 19:40:14.456   30566.31961175922         3632.45599642396          51.65474223982937         
12 Sep 2024 19:41:46.038   30566.32067173565         3724.037960136775         51.6559420146766          
12 Sep 2024 19:43:17.595   30566.32173142514         3815.595132380258         51.65691040872802         
12 Sep 2024 19:44:49.130   30566.32279085831         3907.130158483051         51.65748526365574         
12 Sep 2024 19:46:20.647   30566.32385008574         3998.647408455145         51.6575210382956          
12 Sep 2024 19:47:52.151   30566.3249091551          4090.151001163758         51.65689502530451         
12 Sep 2024 19:49:23.646   30566.32596812272         4181.645803560968         51.65551262921397         
12 Sep 2024 19:50:55.137   30566.32702704358         4273.136565356981         51.65331144894143         
12 Sep 2024 19:52:26.629   30566.32808598075         4364.628736570012         51.65026395308685         
12 Sep 2024 19:53:58.126   30566.32914497606         4456.125931895804         51.64637875522403         
12 Sep 2024 19:55:29.633   30566.33020408747         4547.633157216478         51.64170013447623         
12 Sep 2024 19:57:01.153   30566.33126334279         4639.152817404829         51.63630629202177         
12 Sep 2024 19:58:32.689   30566.33232279215         4730.689241923392         51.63030572908068         
12 Sep 2024 20:00:04.246   30566.33338247572         4822.245902451687         51.62383268023502         
12 Sep 2024 20:01:35.823   30566.33444239287         4913.822743983474         51.61704154306666         
12 Sep 2024 20:03:07.421   30566.33550256349         5005.421485856641         51.61009987243785         
12 Sep 2024 20:04:39.042   30566.33656298978         5097.042317292653         51.60318143152904         
12 Sep 2024 20:06:10.686   30566.33762367623         5188.685626164079         51.59645865942917         
12 Sep 2024 20:07:42.349   30566.3386845901          5280.348584835883         51.59009559563863         
12 Sep 2024 20:09:14.030   30566.33974571755         5372.029996372294         51.58424058896301         
12 Sep 2024 20:10:45.727   30566.34080702111         5463.726623891853         51.57902030433004         
12 Sep 2024 20:12:17.436   30566.34186846826         5555.435657675844         51.57453424330288         
12 Sep 2024 20:13:49.154   30566.34293002609         5647.154254373163         51.57085063200407         
12 Sep 2024 20:15:20.877   30566.34399163437         5738.877209764905         51.56800365455136         
12 Sep 2024 20:16:52.602   30566.34505326707         5830.602275195997         51.56599185244927         
